list-il-none,8,16,1,384,188950,492
list-il-none,8,32,1,768,209714,273
list-il-none,12,1,1,36,284079,7891
list-il-none,12,2,1,72,282667,3925
list-il-none,12,4,1,144,280877,1950
list-il-none,12,8,1,288,289227,1004
list-il-none,12,16,1,576,277301,481
list-il-none,12,32,1,1152,282259,245
list-dl-none,2,1,1,6,67227,11204
list-dl-none,2,2,1,12,164680,13723
list-dl-none,2,4,1,24,106534,4438
list-dl-none,2,8,1,48,97386,2028
list-dl-none,2,16,1,96,106492,1109
list-dl-none,2,32,1,192,106987,557
list-dl-none,4,1,1,12,135864,11322
list-dl-none,4,2,1,24,163584,6816
list-dl-none,4,4,1,48,165674,3451
list-dl-none,4,8,1,96,186230,1939
list-dl-none,4,16,1,192,187396,976
list-dl-none,4,32,1,384,153163,398
list-dl-none,8,1,1,24,215352,8973
list-dl-none,8,2,1,48,191983,3999
list-dl-none,8,4,1,96,197786,2060
list-dl-none,8,8,1,192,187008,974
list-dl-none,8,16,1,384,196521,511
list-dl-none,8,32,1,768,196924,256
list-dl-none,12,1,1,36,287175,7977
list-dl-none,12,2,1,72,290822,4039
list-dl-none,12,4,1,144,288965,2006
list-dl-none,12,8,1,288,296579,1029
list-dl-none,12,16,1,576,279449,485
list-dl-none,12,32,1,1152,289404,251
list-i-m,2,1,1,6,124260,20710
list-i-m,2,2,1,12,105470,8789
list-i-m,2,4,1,24,69907,2912
list-i-m,2,8,1,48,119164,2482
list-i-m,2,16,1,96,109140,1136
list-i-m,2,32,1,192,112150,584
list-i-m,4,1,1,12,118517,9876
list-i-m,4,2,1,24,137492,5728
list-i-m,4,4,1,48,148132,3086
list-i-m,4,8,1,96,119175,1241
list-i-m,4,16,1,192,150001,781
list-i-m,4,32,1,384,170414,443
list-i-m,8,1,1,24,243720,10155
list-i-m,8,2,1,48,225373,4695
list-i-m,8,4,1,96,209240,2179
list-i-m,8,8,1,192,204699,1066
list-i-m,8,16,1,384,211626,551
list-i-m,8,32,1,768,232462,302
list-i-m,12,1,1,36,308559,8571
list-i-m,12,2,1,72,282712,3926
list-i-m,12,4,1,144,279555,1941
list-i-m,12,8,1,288,275519,956
list-i-m,12,16,1,576,292804,508
list-i-m,12,32,1,1152,289591,251
list-d-m,2,1,1,6,91054,15175
list-d-m,2,2,1,12,75534,6294
list-d-m,2,4,1,24,125689,5237
list-d-m,2,8,1,48,109367,2278
list-d-m,2,16,1,96,104518,1088
list-d-m,2,32,1,192,83219,433
list-d-m,4,1,1,12,129744,10812
list-d-m,4,2,1,24,154609,6442
list-d-m,4,4,1,48,127011,2646
list-d-m,4,8,1,96,169970,1770
list-d-m,4,16,1,192,161946,843
list-d-m,4,32,1,384,133036,346
list-d-m,8,1,1,24,214515,8938
list-d-m,8,2,1,48,188927,3935
list-d-m,8,4,1,96,220428,2296
list-d-m,8,8,1,192,225739,1175
list-d-m,8,16,1,384,220086,573
list-d-m,8,32,1,768,203024,264
list-d-m,12,1,1,36,267583,7432
list-d-m,12,2,1,72,295580,4105
list-d-m,12,4,1,144,302285,2099
list-d-m,12,8,1,288,288909,1003
list-d-m,12,16,1,576,291829,506
list-d-m,12,32,1,1152,278914,242
list-il-m,2,1,1,6,96788,16131
list-il-m,2,2,1,12,95831,7985
list-il-m,2,4,1,24,122513,5104
list-il-m,2,8,1,48,78838,1642
list-il-m,2,16,1,96,96224,1002
list-il-m,2,32,1,192,97943,510
list-il-m,4,1,1,12,118930,9910
list-il-m,4,2,1,24,119354,4973
list-il-m,4,4,1,48,109804,2287
list-il-m,4,8,1,96,143097,1490
list-il-m,4,16,1,192,159307,829
